[ 2024-12-20 06:47:24,635 ] 20 root - INFO - Initiate the data ingestion
[ 2024-12-20 06:48:15,883 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-12-20 06:48:15,884 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-12-20 06:48:15,885 ] 75 root - INFO - Exporting train and test file path.
[ 2024-12-20 06:48:15,973 ] 84 root - INFO - Exported train and test file path.
[ 2024-12-20 06:48:15,974 ] 22 root - INFO - Data Initiation Completed
[ 2024-12-20 06:48:15,978 ] 26 root - INFO - Initiate the data Validation
[ 2024-12-20 06:48:16,038 ] 32 root - INFO - Required number of columns:2
[ 2024-12-20 06:48:16,038 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-20 06:48:16,039 ] 32 root - INFO - Required number of columns:2
[ 2024-12-20 06:48:16,039 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-20 06:48:16,214 ] 28 root - INFO - data Validation Completed
[ 2024-12-20 06:48:16,215 ] 31 root - INFO - data Transformation started
[ 2024-12-20 06:48:16,215 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-12-20 06:48:16,215 ] 65 root - INFO - Starting data transformation
[ 2024-12-20 06:48:16,242 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2024-12-20 06:48:16,242 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-12-20 06:48:16,254 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-20 06:48:16,257 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-20 06:48:16,257 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-20 06:48:16,260 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-20 06:48:16,261 ] 35 root - INFO - data Transformation completed
[ 2024-12-20 06:48:16,261 ] 37 root - INFO - Model Training sstared
