[ 2024-12-20 06:53:55,464 ] 20 root - INFO - Initiate the data ingestion
[ 2024-12-20 06:54:27,038 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-12-20 06:54:27,038 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-12-20 06:54:27,038 ] 75 root - INFO - Exporting train and test file path.
[ 2024-12-20 06:54:27,116 ] 84 root - INFO - Exported train and test file path.
[ 2024-12-20 06:54:27,117 ] 22 root - INFO - Data Initiation Completed
[ 2024-12-20 06:54:27,121 ] 26 root - INFO - Initiate the data Validation
[ 2024-12-20 06:54:27,174 ] 32 root - INFO - Required number of columns:2
[ 2024-12-20 06:54:27,174 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-20 06:54:27,174 ] 32 root - INFO - Required number of columns:2
[ 2024-12-20 06:54:27,174 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-20 06:54:27,327 ] 28 root - INFO - data Validation Completed
[ 2024-12-20 06:54:27,328 ] 31 root - INFO - data Transformation started
[ 2024-12-20 06:54:27,328 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-12-20 06:54:27,328 ] 65 root - INFO - Starting data transformation
[ 2024-12-20 06:54:27,355 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2024-12-20 06:54:27,355 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-12-20 06:54:27,365 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-20 06:54:27,368 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-20 06:54:27,368 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-20 06:54:27,372 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-20 06:54:27,373 ] 35 root - INFO - data Transformation completed
[ 2024-12-20 06:54:27,373 ] 37 root - INFO - Model Training sstared
