[ 2024-12-20 02:34:05,508 ] 20 root - INFO - Initiate the data ingestion
[ 2024-12-20 02:34:54,358 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-12-20 02:34:54,358 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-12-20 02:34:54,359 ] 75 root - INFO - Exporting train and test file path.
[ 2024-12-20 02:34:54,441 ] 84 root - INFO - Exported train and test file path.
[ 2024-12-20 02:34:54,442 ] 22 root - INFO - Data Initiation Completed
[ 2024-12-20 02:34:54,446 ] 26 root - INFO - Initiate the data Validation
[ 2024-12-20 02:34:54,499 ] 32 root - INFO - Required number of columns:2
[ 2024-12-20 02:34:54,500 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-20 02:34:54,500 ] 32 root - INFO - Required number of columns:2
[ 2024-12-20 02:34:54,500 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-20 02:34:54,682 ] 28 root - INFO - data Validation Completed
[ 2024-12-20 02:34:54,682 ] 31 root - INFO - data Transformation started
[ 2024-12-20 02:34:54,682 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-12-20 02:34:54,682 ] 65 root - INFO - Starting data transformation
[ 2024-12-20 02:34:54,712 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2024-12-20 02:34:54,712 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-12-20 02:34:54,725 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-20 02:34:54,728 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-20 02:34:54,729 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-20 02:34:54,732 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-20 02:34:54,733 ] 35 root - INFO - data Transformation completed
[ 2024-12-20 02:34:54,734 ] 37 root - INFO - Model Training sstared
